Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
11/03/2013,0.4193,0.4193,0.4193,0.4149
12/03/2013,0.4193,0.4193,0.4237,0.4193
13/03/2013,0.4193,0.4237,0.4237,0.4193
14/03/2013,0.4149,0.4193,0.4193,0.4149
15/03/2013,0.4193,0.4193,0.4193,0.4193
18/03/2013,0.4193,0.4193,0.4237,0.4193
19/03/2013,0.4193,0.4193,0.4193,0.4149
20/03/2013,0.4149,0.4193,0.4237,0.4149
21/03/2013,0.4149,0.4149,0.4149,0.4149
25/03/2013,0.4149,0.4149,0.4149,0.4149
26/03/2013,0.4193,0.4193,0.4193,0.4149
27/03/2013,0.4193,0.4237,0.4237,0.4193
28/03/2013,0.4149,0.4149,0.4149,0.4149
01/04/2013,0.4149,0.4149,0.4193,0.4149
02/04/2013,0.4149,0.4149,0.4149,0.4149
03/04/2013,0.4193,0.4193,0.4193,0.4149
04/04/2013,0.4193,0.4193,0.4237,0.4193
05/04/2013,0.4237,0.4193,0.4237,0.4193
08/04/2013,0.4193,0.4193,0.4193,0.4149
09/04/2013,0.4193,0.4193,0.4193,0.4193
10/04/2013,0.4149,0.4193,0.4193,0.4106
11/04/2013,0.4149,0.4149,0.4193,0.4149
12/04/2013,0.4193,0.4193,0.4237,0.4149
15/04/2013,0.4149,0.4193,0.4193,0.4149
16/04/2013,0.4106,0.4149,0.4149,0.4106
17/04/2013,0.4106,0.4106,0.4106,0.4106
18/04/2013,0.4149,0.4106,0.4149,0.4106
19/04/2013,0.4106,0.4106,0.4106,0.4106
22/04/2013,0.4062,0.4106,0.4106,0.4062
23/04/2013,0.4062,0.4106,0.4106,0.4062
24/04/2013,0.4106,0.4062,0.4106,0.4018
25/04/2013,0.4018,0.4062,0.4106,0.4018
26/04/2013,0.4018,0.4018,0.4018,0.4018
29/04/2013,0.4106,0.4106,0.4106,0.4062
30/04/2013,0.4062,0.4062,0.4062,0.4062
02/05/2013,0.4062,0.4106,0.4106,0.4062
03/05/2013,0.4062,0.4062,0.4062,0.4018
06/05/2013,0.4018,0.4062,0.4106,0.4018
07/05/2013,0.3975,0.4062,0.4062,0.3975
08/05/2013,0.3844,0.3975,0.3975,0.3844
09/05/2013,0.3931,0.3844,0.3931,0.3844
10/05/2013,0.3931,0.3931,0.3931,0.3887
13/05/2013,0.3931,0.3931,0.3931,0.3931
14/05/2013,0.3975,0.3931,0.3975,0.3931
15/05/2013,0.4018,0.3975,0.4018,0.3975
16/05/2013,0.4062,0.4062,0.4106,0.4062
17/05/2013,0.3975,0.4062,0.4062,0.3975
20/05/2013,0.3975,0.3975,0.3975,0.3975
21/05/2013,0.3975,0.4018,0.4018,0.3975
22/05/2013,0.4062,0.4018,0.4149,0.4018
23/05/2013,0.3975,0.3975,0.3975,0.3931
27/05/2013,0.3931,0.3887,0.3931,0.3887
28/05/2013,0.3975,0.4018,0.4018,0.3975
29/05/2013,0.3975,0.3975,0.4018,0.3975
31/05/2013,0.3931,0.3931,0.3931,0.3931
03/06/2013,0.38,0.3887,0.3887,0.38
04/06/2013,0.3756,0.3844,0.3844,0.3756
05/06/2013,0.3756,0.38,0.38,0.3756
06/06/2013,0.3756,0.3756,0.38,0.3756
07/06/2013,0.38,0.38,0.38,0.38
10/06/2013,0.3887,0.38,0.3887,0.3756
11/06/2013,0.3713,0.3844,0.3844,0.3713
12/06/2013,0.3756,0.3756,0.3756,0.3713
13/06/2013,0.3669,0.3756,0.3756,0.3625
14/06/2013,0.3756,0.3713,0.38,0.3713
17/06/2013,0.38,0.38,0.38,0.38
18/06/2013,0.3756,0.3756,0.3756,0.3756
20/06/2013,0.3756,0.3756,0.38,0.3756
21/06/2013,0.3756,0.3756,0.3756,0.3756
24/06/2013,0.3625,0.3713,0.3713,0.3625
25/06/2013,0.3713,0.3625,0.3713,0.3625
26/06/2013,0.3669,0.3713,0.3713,0.3669
27/06/2013,0.3625,0.3669,0.3669,0.3625
28/06/2013,0.3669,0.3625,0.3669,0.3625
01/07/2013,0.3669,0.3669,0.3669,0.3669
02/07/2013,0.3713,0.3669,0.3713,0.3669
03/07/2013,0.3669,0.3669,0.3669,0.3669
04/07/2013,0.3713,0.3669,0.3713,0.3669
05/07/2013,0.3625,0.3669,0.3669,0.3625
08/07/2013,0.3669,0.3669,0.3713,0.3669
09/07/2013,0.38,0.3756,0.38,0.3756
10/07/2013,0.3756,0.3756,0.3756,0.3756
11/07/2013,0.3756,0.3713,0.3756,0.3713
12/07/2013,0.3844,0.3756,0.3844,0.3756
15/07/2013,0.3844,0.3756,0.3844,0.3756
16/07/2013,0.38,0.3756,0.3844,0.3756
17/07/2013,0.38,0.38,0.38,0.38
18/07/2013,0.3844,0.3844,0.3844,0.3844
19/07/2013,0.38,0.3756,0.38,0.3756
22/07/2013,0.3844,0.38,0.3844,0.38
23/07/2013,0.3931,0.3844,0.3931,0.3844
24/07/2013,0.3844,0.3844,0.3844,0.3844
26/07/2013,0.3844,0.3844,0.3844,0.3844
29/07/2013,0.3844,0.3844,0.3844,0.3844
30/07/2013,0.3844,0.3844,0.3844,0.3844
31/07/2013,0.38,0.3844,0.3844,0.38
01/08/2013,0.3887,0.3844,0.3887,0.3844
02/08/2013,0.3844,0.3844,0.3844,0.3844
05/08/2013,0.3844,0.3844,0.3844,0.3844
06/08/2013,0.3625,0.3713,0.3713,0.3582
07/08/2013,0.3669,0.3625,0.3713,0.3625
12/08/2013,0.3713,0.3713,0.3756,0.3713
13/08/2013,0.3669,0.3669,0.3669,0.3669
14/08/2013,0.3669,0.3669,0.3713,0.3669
16/08/2013,0.3713,0.3669,0.3713,0.3669
19/08/2013,0.3669,0.3756,0.3756,0.3669
20/08/2013,0.3625,0.3669,0.3669,0.3625
21/08/2013,0.3582,0.3625,0.3625,0.3582
22/08/2013,0.3538,0.3494,0.3538,0.3494
23/08/2013,0.3582,0.3582,0.3582,0.3582
26/08/2013,0.3582,0.3582,0.3582,0.3582
27/08/2013,0.3582,0.3538,0.3582,0.3538
28/08/2013,0.3538,0.3538,0.3538,0.3538
29/08/2013,0.3538,0.3538,0.3538,0.3538
30/08/2013,0.3582,0.3538,0.3625,0.3538
02/09/2013,0.3538,0.3582,0.3582,0.3494
03/09/2013,0.3582,0.3494,0.3582,0.3494
04/09/2013,0.3582,0.3494,0.3582,0.3494
05/09/2013,0.3582,0.3582,0.3625,0.3582
06/09/2013,0.3669,0.3625,0.3669,0.3625
09/09/2013,0.3582,0.3582,0.3625,0.3582
10/09/2013,0.3538,0.3538,0.3538,0.3538
11/09/2013,0.3538,0.3582,0.3582,0.3538
12/09/2013,0.3625,0.3582,0.3625,0.3582
13/09/2013,0.3625,0.3582,0.3625,0.3538
16/09/2013,0.3538,0.3582,0.3582,0.3538
17/09/2013,0.3538,0.3538,0.3582,0.3538
18/09/2013,0.3538,0.3538,0.3582,0.3538
19/09/2013,0.3582,0.3582,0.3582,0.3538
20/09/2013,0.3625,0.3538,0.3713,0.3538
23/09/2013,0.3582,0.3582,0.3582,0.3538
24/09/2013,0.3538,0.3582,0.3625,0.3538
25/09/2013,0.3582,0.3538,0.3625,0.3538
27/09/2013,0.3582,0.3582,0.3582,0.3582
30/09/2013,0.3625,0.3582,0.3625,0.3538
